"Spisová značka","Oblast práva","Věc","Forma zjištění","Datum vydání","Právní věty",""
"34643/2020/PDCJ","Ostatní oblasti ochrany životního prostředí, činnost Ministerstva zemědělství a Ministerstva životního prostředí","ochrana zvířat proti týrání","Připomínka v legislativním procesu","18.08.2020","",""
"29104/2020/PDCJ","Působnost Ministerstva spravedlnosti, Probační a mediační služba","správa znalecké a tlumočnické agendy","Připomínka v legislativním procesu","20.07.2020","",""
"26694/2020/S","","","Připomínka v legislativním procesu","30.06.2020","",""
"21262/2020/S","Správa na úseku školství","ostatní","Připomínka v legislativním procesu","01.06.2020","",""
"20847/2020/S","Diskriminace - vzdělávání","přístup ke vzdělávání","Připomínka v legislativním procesu","26.05.2020","",""
"20705/2020/S","Práva osob se zdravotním postižením","","Připomínka v legislativním procesu","26.05.2020","",""
"20701/2020/S","Detence - vězeňská zařízení","","Připomínka v legislativním procesu","26.05.2020","",""
"20113/2020/S","Detence - vězeňská zařízení","","Připomínka v legislativním procesu","26.05.2020","",""
"14848/2020/S","Pobyt cizinců","ostatní","Připomínka v legislativním procesu","15.04.2020","",""
"5310/2020/S","Příspěvek na péči, dávky pro zdravotně postižené","","Připomínka v legislativním procesu","03.02.2020","",""
"5141/2020/VOP","Poskytování sociálních služeb","poskytování sociálních služeb","Odložení","10.09.2020","",""
"3933/2020/VOP","Katastr nemovitostí - zápisy práv","vklad práva do katastru nemovitostí","Odložení","30.07.2020","",""
"2980/2020/VOP","Přestupky v oblasti dopravy","přestupky v oblasti dopravy","Zpráva o šetření - § 18","10.08.2020","",""
"2926/2020/VOP","Ostatní působnost na úseku staveb a Ministerstva pro místní rozvoj","pohřebnictví","Odložení","25.05.2020","Zajišťuje-li obec pohřbení těla zemřelého zpopelněním, je jeho součástí uložení urny s lidskými ostatky na veřejném pohřebišti (§ 5 odst. 2 zákona č. 256/2001 Sb., o pohřebnictví, ve znění pozdějších předpisů). Pokud se však v mezidobí od provedení kremace, převzetí urny vypravitelem pohřbu a jejím uložením na veřejném pohřebišti objeví některá z osob uvedených v § 92 odst. 2 občanského zákoníku, která projeví o vydání urny zájem, měla by jí obec urnu s kremačním popelem zemřelého vydat. ",""
"2768/2020/S","Správa na úseku školství","ostatní","Připomínka v legislativním procesu","31.01.2020","",""
"2762/2020/S","Sociální služby","","Připomínka v legislativním procesu","22.01.2020","",""
"2759/2020/S","Sociální zabezpečení","","Připomínka v legislativním procesu","22.02.2020","",""
"2757/2020/S","Sociální zabezpečení","","Připomínka v legislativním procesu","22.01.2020","",""
"2725/2020/VOP","Správa na úseku školství","ostatní","Odložení","11.06.2020","",""
"2675/2020/S","","","Zpráva sněmovně § 24/1 b)","31.01.2020","",""
"2670/2020/S","","","Čtvrtletní zpráva sněmovně § 24/1 a)","31.01.2020","",""
"1872/2020/VOP","Přestupky v oblasti dopravy","ostatní","Zpráva o šetření - § 18","14.07.2020","",""
